Gen|Top1|Length1|Fitness1|Top2|Length2|Fitness2|Top3|Length3|Fitness3|Top4|Length4|Fitness4|Top5|Length5|Fitness5|Top6|Length6|Fitness6|Top7|Length7|Fitness7|Top8|Length8|Fitness8|Top9|Length9|Fitness9|Top10|Length10|Fitness10
-1|0.14984409424371187*x0**6 - 0.21136285501903145*x0**5 + 0.26008821429742252*x0**4 - 0.15142877424053219*x0**3 - 0.12463030204329633*x0**2 - 0.022746467035329596*x0 + 0.40215246083593681|10|718.4375046936635|
21|mul(div(-0.428, X0), div(-0.616, X0))|7|0.01822586158463223|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|exp(sub(-0.865, X0))|4|0.036736364657982995|
22|mul(div(-0.428, X0), div(-0.616, X0))|7|0.01822586158463223|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|
23|sin(exp(div(X0, -0.765)))|5|0.01747541127801465|mul(div(-0.428, X0), div(-0.616, X0))|7|0.01822586158463223|mul(log(sin(log(sub(X0, -0.669)))), log(sin(sqrt(div(0.398, 0.547)))))|13|0.021985203990084242|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|
24|sin(exp(div(X0, -0.765)))|5|0.01747541127801465|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|
25|sin(exp(div(X0, -0.765)))|5|0.01747541127801465|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|div(add(sin(-0.402), sqrt(-0.417)), X0)|7|0.06599066593493529|
26|sin(exp(div(X0, -0.765)))|5|0.01747541127801465|sin(exp(div(X0, -0.765)))|5|0.01747541127801465|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|add(div(div(0.086, X0), div(X0, 0.693)), sin(exp(div(X0, -0.765))))|13|0.04023087299059399|
27|sin(exp(div(X0, -0.765)))|5|0.01747541127801465|add(div(div(0.086, X0), div(X0, 0.693)), exp(sub(-0.796, X0)))|12|0.02146372917059371|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|
28|exp(sub(sub(cos(X0), sqrt(X0)), cos(log(0.949))))|10|0.014055768250980977|sin(exp(div(X0, -0.765)))|5|0.01747541127801465|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(div(X0, -0.519))|4|0.054421259096917605|
29|exp(sub(sub(cos(X0), sqrt(X0)), cos(log(0.949))))|10|0.014055768250980977|add(exp(sub(-0.796, X0)), exp(sub(mul(X0, -0.696), div(X0, 0.509))))|13|0.015596496021648748|add(exp(sub(-0.796, X0)), exp(sub(mul(X0, -0.696), div(X0, 0.509))))|13|0.015596496021648748|exp(div(mul(X0, 0.884), mul(0.863, -0.662)))|8|0.020615643784786745|add(exp(sub(-0.796, X0)), mul(sub(X0, 0.929), -0.003))|10|0.03199060906633467|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|
30|exp(sub(sub(cos(X0), sqrt(X0)), cos(log(0.949))))|10|0.014055768250980977|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|add(mul(cos(exp(sub(-0.796, X0))), 0.019), exp(sub(-0.796, X0)))|12|0.03358758988614419|exp(sub(sub(log(div(0.563, X0)), log(mul(-0.877, X0))), cos(sin(sub(-0.827, X0)))))|16|0.03693281365145388|sin(log(exp(div(sin(0.125), mul(X0, X0)))))|9|0.058468094401186124|
31|mul(sin(sin(exp(div(X0, -0.735)))), sin(sqrt(exp(sin(X0)))))|12|0.010343859132374076|exp(sub(sub(cos(X0), sqrt(X0)), cos(log(0.949))))|10|0.014055768250980977|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|
32|mul(sin(sin(exp(div(X0, -0.735)))), sin(sqrt(exp(sin(X0)))))|12|0.010343859132374076|add(div(0.060, div(X0, 0.396)), exp(sub(-0.796, X0)))|10|0.027607825002662734|sin(mul(cos(sin(X0)), div(cos(-0.305), exp(X0))))|10|0.03262860408128553|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|
33|mul(sin(sin(exp(div(X0, -0.735)))), sin(sqrt(exp(sin(X0)))))|12|0.010343859132374076|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|
34|mul(sin(sin(exp(div(X0, -0.735)))), sin(sqrt(exp(sin(X0)))))|12|0.010343859132374076|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(sub(-0.796, X0))|4|0.03263662221949983|
35|mul(sin(sin(exp(div(X0, -0.735)))), sin(sqrt(exp(sin(X0)))))|12|0.010343859132374076|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|
36|mul(sin(sin(exp(div(X0, -0.735)))), sin(sqrt(exp(sin(X0)))))|12|0.010343859132374076|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.796, X0))|4|0.03263662221949983|exp(div(sqrt(X0), add(-0.626, 0.055)))|7|0.03957962103285435|div(sin(-0.310), sub(-0.953, X0))|6|0.05776130501337598|
37|mul(sin(sin(exp(div(X0, -0.735)))), sin(sqrt(exp(sin(X0)))))|12|0.010343859132374076|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|
38|mul(sin(sin(exp(div(X0, -0.735)))), sin(sqrt(exp(sin(X0)))))|12|0.010343859132374076|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|
39|mul(sin(sin(exp(div(X0, -0.735)))), sin(sqrt(exp(sin(X0)))))|12|0.010343859132374076|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|exp(sub(-0.476, X0))|4|0.025108318518400494|
